question,segment_type,segment_description,answer,count,percentage
Best stories on Snapchat discover?,University,Coastal Carolina University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Coastal Carolina University,Vice,0,0.0
Best stories on Snapchat discover?,University,Coastal Carolina University,Buzzfeed,1,1.0
Best stories on Snapchat discover?,University,Coastal Carolina University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Coastal Carolina University,People,0,0.0
Best stories on Snapchat discover?,University,Coastal Carolina University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Coastal Carolina University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Coastal Carolina University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Hamilton College,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Hamilton College,Vice,0,0.0
Best stories on Snapchat discover?,University,Hamilton College,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Hamilton College,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Hamilton College,People,0,0.0
Best stories on Snapchat discover?,University,Hamilton College,ESPN,1,1.0
Best stories on Snapchat discover?,University,Hamilton College,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Hamilton College,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of Ottawa,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Ottawa,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Ottawa,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,University of Ottawa,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Ottawa,People,0,0.0
Best stories on Snapchat discover?,University,University of Ottawa,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Ottawa,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Ottawa,Never watched those / other,3,1.0
Best stories on Snapchat discover?,University,Northeastern University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Northeastern University,Vice,0,0.0
Best stories on Snapchat discover?,University,Northeastern University,Buzzfeed,3,0.429
Best stories on Snapchat discover?,University,Northeastern University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Northeastern University,People,0,0.0
Best stories on Snapchat discover?,University,Northeastern University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Northeastern University,Cosmo,1,0.143
Best stories on Snapchat discover?,University,Northeastern University,Never watched those / other,3,0.429
Best stories on Snapchat discover?,University,Western University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Western University,Vice,1,0.111
Best stories on Snapchat discover?,University,Western University,Buzzfeed,3,0.333
Best stories on Snapchat discover?,University,Western University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Western University,People,0,0.0
Best stories on Snapchat discover?,University,Western University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Western University,Cosmo,4,0.444
Best stories on Snapchat discover?,University,Western University,Never watched those / other,1,0.111
Best stories on Snapchat discover?,University,"University of California, Davis",Daily Mail,1,0.033
Best stories on Snapchat discover?,University,"University of California, Davis",Vice,2,0.067
Best stories on Snapchat discover?,University,"University of California, Davis",Buzzfeed,15,0.5
Best stories on Snapchat discover?,University,"University of California, Davis",Comedy Central,1,0.033
Best stories on Snapchat discover?,University,"University of California, Davis",People,0,0.0
Best stories on Snapchat discover?,University,"University of California, Davis",ESPN,0,0.0
Best stories on Snapchat discover?,University,"University of California, Davis",Cosmo,2,0.067
Best stories on Snapchat discover?,University,"University of California, Davis",Never watched those / other,9,0.3
Best stories on Snapchat discover?,University,Wilfred Laurier University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Wilfred Laurier University,Vice,1,0.125
Best stories on Snapchat discover?,University,Wilfred Laurier University,Buzzfeed,3,0.375
Best stories on Snapchat discover?,University,Wilfred Laurier University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Wilfred Laurier University,People,0,0.0
Best stories on Snapchat discover?,University,Wilfred Laurier University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Wilfred Laurier University,Cosmo,2,0.25
Best stories on Snapchat discover?,University,Wilfred Laurier University,Never watched those / other,2,0.25
Best stories on Snapchat discover?,University,Aurora University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Aurora University,Vice,0,0.0
Best stories on Snapchat discover?,University,Aurora University,Buzzfeed,1,1.0
Best stories on Snapchat discover?,University,Aurora University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Aurora University,People,0,0.0
Best stories on Snapchat discover?,University,Aurora University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Aurora University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Aurora University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Duke University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Duke University,Vice,0,0.0
Best stories on Snapchat discover?,University,Duke University,Buzzfeed,3,0.6
Best stories on Snapchat discover?,University,Duke University,Comedy Central,2,0.4
Best stories on Snapchat discover?,University,Duke University,People,0,0.0
Best stories on Snapchat discover?,University,Duke University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Duke University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Duke University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Eastern Illinois University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Eastern Illinois University,Vice,0,0.0
Best stories on Snapchat discover?,University,Eastern Illinois University,Buzzfeed,1,1.0
Best stories on Snapchat discover?,University,Eastern Illinois University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Eastern Illinois University,People,0,0.0
Best stories on Snapchat discover?,University,Eastern Illinois University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Eastern Illinois University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Eastern Illinois University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of Texas,Daily Mail,3,0.083
Best stories on Snapchat discover?,University,University of Texas,Vice,5,0.139
Best stories on Snapchat discover?,University,University of Texas,Buzzfeed,7,0.194
Best stories on Snapchat discover?,University,University of Texas,Comedy Central,1,0.028
Best stories on Snapchat discover?,University,University of Texas,People,1,0.028
Best stories on Snapchat discover?,University,University of Texas,ESPN,6,0.167
Best stories on Snapchat discover?,University,University of Texas,Cosmo,5,0.139
Best stories on Snapchat discover?,University,University of Texas,Never watched those / other,8,0.222
Best stories on Snapchat discover?,University,University of Iowa,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Iowa,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Iowa,Buzzfeed,3,0.273
Best stories on Snapchat discover?,University,University of Iowa,Comedy Central,1,0.091
Best stories on Snapchat discover?,University,University of Iowa,People,2,0.182
Best stories on Snapchat discover?,University,University of Iowa,ESPN,2,0.182
Best stories on Snapchat discover?,University,University of Iowa,Cosmo,2,0.182
Best stories on Snapchat discover?,University,University of Iowa,Never watched those / other,1,0.091
Best stories on Snapchat discover?,University,Miami University (Ohio),Daily Mail,1,0.25
Best stories on Snapchat discover?,University,Miami University (Ohio),Vice,0,0.0
Best stories on Snapchat discover?,University,Miami University (Ohio),Buzzfeed,1,0.25
Best stories on Snapchat discover?,University,Miami University (Ohio),Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Miami University (Ohio),People,0,0.0
Best stories on Snapchat discover?,University,Miami University (Ohio),ESPN,0,0.0
Best stories on Snapchat discover?,University,Miami University (Ohio),Cosmo,2,0.5
Best stories on Snapchat discover?,University,Miami University (Ohio),Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Southwestern Illinois College,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Southwestern Illinois College,Vice,0,0.0
Best stories on Snapchat discover?,University,Southwestern Illinois College,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Southwestern Illinois College,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Southwestern Illinois College,People,0,0.0
Best stories on Snapchat discover?,University,Southwestern Illinois College,ESPN,0,0.0
Best stories on Snapchat discover?,University,Southwestern Illinois College,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Southwestern Illinois College,Never watched those / other,1,1.0
Best stories on Snapchat discover?,University,British Columbia University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,British Columbia University,Vice,0,0.0
Best stories on Snapchat discover?,University,British Columbia University,Buzzfeed,2,1.0
Best stories on Snapchat discover?,University,British Columbia University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,British Columbia University,People,0,0.0
Best stories on Snapchat discover?,University,British Columbia University,ESPN,0,0.0
Best stories on Snapchat discover?,University,British Columbia University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,British Columbia University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Elon University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Elon University,Vice,0,0.0
Best stories on Snapchat discover?,University,Elon University,Buzzfeed,4,0.667
Best stories on Snapchat discover?,University,Elon University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Elon University,People,0,0.0
Best stories on Snapchat discover?,University,Elon University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Elon University,Cosmo,1,0.167
Best stories on Snapchat discover?,University,Elon University,Never watched those / other,1,0.167
Best stories on Snapchat discover?,University,Students of New York,Daily Mail,11,0.069
Best stories on Snapchat discover?,University,Students of New York,Vice,14,0.088
Best stories on Snapchat discover?,University,Students of New York,Buzzfeed,49,0.308
Best stories on Snapchat discover?,University,Students of New York,Comedy Central,10,0.063
Best stories on Snapchat discover?,University,Students of New York,People,3,0.019
Best stories on Snapchat discover?,University,Students of New York,ESPN,29,0.182
Best stories on Snapchat discover?,University,Students of New York,Cosmo,20,0.126
Best stories on Snapchat discover?,University,Students of New York,Never watched those / other,23,0.145
Best stories on Snapchat discover?,University,"Westport, CT",Daily Mail,0,0.0
